#options: 2520x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=7000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:31 out:33 type:b dur:2 cpbdur:2 q:27.06 aq:22.12 tex:31236 mv:29056 misc:9212 imb:515 pmb:2929 smb:7300 d:s ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:26.65 aq:22.33 tex:51452 mv:37679 misc:9845 imb:791 pmb:3683 smb:6270 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:25.90 aq:20.24 tex:314793 mv:78371 misc:5380 imb:4317 pmb:5095 smb:1332 d:s ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:26.18 aq:20.97 tex:123595 mv:63535 misc:9798 imb:1273 pmb:5606 smb:3865 d:s ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:26.31 aq:21.44 tex:43227 mv:33083 misc:9642 imb:584 pmb:3420 smb:6740 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:26.04 aq:21.76 tex:68236 mv:47927 misc:10109 imb:1044 pmb:4360 smb:5340 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:25.23 aq:20.09 tex:176435 mv:51479 misc:9006 imb:2210 pmb:4931 smb:3603 d:s ref:0 ;
in:42 out:40 type:P dur:2 cpbdur:2 q:24.97 aq:19.36 tex:312393 mv:79008 misc:4207 imb:5490 pmb:4367 smb:887 d:s ref:0 w:7,101,4,7,101,27,102,26 ;
in:40 out:41 type:B dur:2 cpbdur:2 q:25.14 aq:20.71 tex:257451 mv:78941 misc:7672 imb:3867 pmb:4452 smb:2425 d:t ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:25.05 aq:20.68 tex:202613 mv:79310 misc:7749 imb:3663 pmb:4602 smb:2479 d:- ref:0 ;
in:44 out:43 type:P dur:2 cpbdur:2 q:25.03 aq:19.06 tex:213151 mv:69474 misc:5455 imb:5069 pmb:4227 smb:1448 d:s ref:0 w:7,107,2,5,27,20,27,20 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:25.00 aq:20.02 tex:169854 mv:69132 misc:8150 imb:3611 pmb:3999 smb:3134 d:t ref:0 ;
